label,text
0,"To continue with your Bank Transfer transaction, your OTP is 893205. Never share your OTP to anyone, including our representatives.
q0uXCqkIhgZ"
1,BDO online banking frozen! Unlock now: bdounlock2025.com.
1,"Wilfredo, 
Join BET88ph with IVANA & 
Get 100% Welcome Bonus up to P8,888 
2win88.online"
1,"Hello, new free money bonus 1999 with no deposit condition, please login http://yy777k.com to get free money 1999 now"
1,Magrehistro online para sa mga laro ng slot at makakuha ng P77: funinn.online
0,Anong Oras uli moDito kami plasa bili ulam
1,"Kamusta, bagong free money bonus 1999 - walang deposit condition, paki-login kmjb.eu/0002 Para makakuha ng libreng pera 1999 hindi"
1,"v! Last 2 days, Claim the BARAHA B0NUS up to 88888! Big events only for celebrate 2022 World Cup!
web: pinasu.life"
1,"W19 Games, mag-imbita ng mga kaibigan at magkaroon ng bagong paraan ng pagkita ng pera sa paglalaro!
tinyurl.com/W19sm07"
1,Promo is EXTENDED! May oras ka pa mag-GGives for the first time to get your last installment for free! Just choose 12 months to pay with GGives and repay on time. Promo now until July 18.
1,"[ Betso88 x Epicwin ]: Join us &  FREE 50p today  

Auto FREE 50p when signup! Get extra 100p with any deposit   

Trusted website : https://EpicWin1.icu"
0,Dto npo ako sa labas ty
0,Your Binance login verification code: 874563. Do not share this code with anyone. Visit your Binance account now.
0,"huy reply ka naman, kanina pa ko nagchachat"
1,"Congratulations GCash User!

You have received P10,500 from GCash Team.

Claim your cash by clicking the link below.

Claim your cash at decembercash.tech/claim-cash

Thank you for choosing GCash App!"
0,ay kakastart lang ng quiz sabay tayo mag-open ng notes HAHAHA
0,wait nasa labqs ako di ko makita pics
1,"May UNCLAIMED PAL airline ticket voucher ka worth 15,000 PHP! Redeem now before expiry! pal-reward.ml"
0,"Don't miss out on this fantastic opportunity to get up to P113200 without any credit checks or delays with UnionBank Quick Loans! You can pay it off in light, easy installments with our affordable financing rates!
Apply now via the UnionBank Online App or website using the invite code 7E3AF4 for account number ending 4605. Offer is valid until today, Aug. 22, 2023."
0,Hoy anong oras yung deadline?? Panic mode na ako
1,"Free ₱1,000 Load! Click: load-cash.com. Available lang ngayon!"
1,"Exciting News! Get ready for a financial upgrade with the Unionbank Credit Card!

Why Unionbank?
- Awesome rewards
- Low-interest rates
- Easy transactions

If you already have a credit card from another bank (creditcardholder from another bank)

Just send a quick message to our friendly processing team on Viber @ 09858168790 and ask for assistance.

Apply now !

Thank you and we are happy to assist you."
0,hoy anong oras na kayo papasok? wag nyo kong iwan mag-isa HAHAHA
0,"ayoko nang maging problem solver, gusto ko na lang magka-solve ng problema ko"
0,Kuya  dagdagan mo  gawin mo 3200
1,[BDO-ALERT]: Your account is on hold please verify here: https://my.bdounibankph.com if your registered number is still active
1,Amihan Special imbitasyon! Depo 500 at kumuha ng 300 na bonus. Para lang sa mga napiling tao. sm77.ca/2n2b
1,"Good news, William! Kapag nag-order ka ngayong araw, may CHANCE kang manalo ng PAMIGAY PERA mula sa aming kumpanya.

Ito po ang mga pwedeng laman ng Parcel na mapipili:

P100 P1,000

P300 1,500

P500 2,000

and P5,000

ONCE YOU FOUND A PESO BILL INSIDE YOUR PARCEL, MESSAGE US WITH A FEEDBACK!

Be Happy! Be Lucky!"
1,"Julia Torres, New promotions are waiting for you at W+. Sign up now for exclusive bonuses! wpjili.com."
1,"[ UNlON-BANK ] Your account has been restricted due to unrecognized attempts, Failure to take action will result in account termination within 24 hours. Update here shorten.so/MyUB_Protect"
0,"ano mas okay, study group o solo review?"
0,Magfocus ka sa goals mo wag mo masyado isipin yung stress sa paligid
1,"Sa Christmas carnival, ang mga bagong KKBE users ay makakakuha ng P155 sa pamamagitan ng recharging ng P155. 1x turnover!
2sj9.bid"
0,"You are now registered to a limited-time GoDEALS offer! Enjoy Go59 for Students with FREE 1GB for all sites! Get a total of 6GB for all sites, 1GB for GoLEARN&WORK apps, and unli all-net texts valid till 2025-01-26, 17:41:09."
0,Capable under hunger and pressure dapat ang mga alagad ko
1,"Ano? Daily cashback at ?777 na bonus? Halika at subukan lamang sa W19 Games!
w19w17.xyz"
1,Earn ₱12K/month sa virtual assistant. Apply: vascam.xyz. Send ₱2K fee.
0,"Oh no! May biglaang gastos? Sa GLoan Sakto, you can borrow instantly for as low as PHP 100. Tap Borrow > GLoan in the GCash app para makakuha ng GLoan Sakto!"
1,"Experience Friday Fever at GJPrefferal.de! Score a 6,888p Bonus and enter to win the VIVO V30 PRO 5G. Celebrate your Friday with a win!"
1,"Start Strong at SugarPlay! Enjoy a 3% bonus on all deposits and up to 58,888p in Daily Rebates. New members receive a 2000p Welcome Bonus! SPSlots.de!"
1,"Free 77 gift for you! 1x turnover, Welcome Gift, all in JILIBEE http://v5vip.co/"
1,"Bermonths bring high winning rates at GoJackpot! New users get 777 Free Bonus & join the 600,000 giveaway Win 6888, plus extra 177 on Maya. Visit gojackpot2.ink"
1,"FG777:Bagong libreng bonus 1999p na walang kundisyon ng deposito. mag-imbita ng manlalaro para makakuha ng libreng

bonus57P:https://f7778.co/XCV"
0,bayad ka na ba sa graduation fee? may deadline na raw sa Friday sabi ni sir
1,"Hi Scott ! Exciting news! Enjoy BONUS DATA with Signature Plans+ 1499! Upgrade to this plan by 20-October-2023, and get an extra 10 GB open-access data for FREE every month for 6 months, on top of your plan.

To avail, our friendly Smart Team will reach out to you via call (from 888 or 0888) within the next 48 hours. You can also visit any of our Smart Stores (smrt.ph/bookanapp). Please disregard if you have already availed. T&Cs apply. DTI#164557&158952"
1,"SG777: Kumuha ng 197 para sa 197, at makakuha ng pulang sobreng cash para sa araw-araw na pagtaya: http://phlinks.center/fBN95"
0,"bakit parang ang bilis ng araw pag pahinga pero pag may deadline, 72 hours per day?"
0,uyy sino may alam paano i-solve yung problem sa physics assignment natin?
0,"As for me, I’m studying psychology because I want to be an environmental psychologist in the future. 

(Please huwag sana ako ma out of place pag nag uusap kayo ng cells-cells. 😭)"
1,"Congratulations!

Redeem your P10,200 from G Cash support!

Claim here: g-gift.pt?id=80

Thank you for choosing GCash Online!"
0,himala nasa close friends list ka
1,"No.1 Online kingdom ng PINAS, may MILYONG kampyon kada araw! Dito yan sa PanaloKa, claim 316% bonus now! PanaloKa.tv"
1,"You have 1859P to claim, visit:suo.yt/6HUoJ59"
0,"Ung iba po meron na payment for previous year po, pro karamihan po wla pa payment, please settle na po this January po. Thanks"
1,OVERDUE na ang Globe postpaid bill mo! 24 hours na lang bago ma-disconnect! Magbayad na! globe-billpay.ml
0,bakit cancelled bigla yung exam sana sinabi mas maaga
1,"Make money while watching YouTube, earn 500P per day, contact the tutor to receive 138P. bbmm.bid"
0,Want the best and latest gadgets and devices? Upgrade today with no credit card needed. Mag-GGives na!
1,Free ₱300 GCash! Claim here: gcash-free300.com. Expires in 1 hour!
1,"Hi, sis! Need ko ₱2K for school project. Padala sa Maya 09123567347. Thanks!"
1,Your Maya account may hold. Call 09567345234 para ma-unlock agad.
0,"May bagong k-drama, panoorin natin sabay"
0,"Malakas loob ko mag submit eh, mali mali naman sagot HAHAHA"
1,"May P77,628 credit na natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: moonow.so."
1,"It's raining rewards at GoJackpot ! Claim Payday Blast Bonus 6,888p ! Win Samsung S23 in our Slot Win Event ! New Players get 1,000p+177p at Gojackpot5.eu"
1,"Winning Plus Tuesday Slots: Win Oppo Reno 11 Pro 5G + 512GB worth 31,999p + 30% daily bonus. Register now at Wplayace.de ."
0,naga thesis me atm
0,sanaol busog na busog sa pagmamahal
0,"To continue with your Bank Transfer transaction, your OTP is 964988. Never share your OTP to anyone, including our representatives.
q0uXCqkIhgZ"
1,URGENT! Your PHILHEALTH BENEFITS ARE ON HOLD! update agad sa philhealth-updatefix.ml para hindi ma-expire
0,Ang bilis ng oras parang kailan lang Friday tapos ngayon Sunday na naman
1,"Hungry for discounts? As a new Smart subscriber, we have an exclusive foodpanda voucher just for you!

1. Open the foodpanda app now: https://prf.hn/l/MbnvkdO

2. Enter this code upon checkout: SPPXFPNEW

Voucher is valid until January 31, 2025 only! DT1209357"
0,di ko na alam paano mag compute ng final grade bahala na si batman
0,"Sige na, basta Tagalog-English yan."
0,"Good news! Holiday Dining Deals just for you:

Dine BETTER with BDO Credit Cards:
- 50% OFF at Vikings Group (Aug 26)
- 50% OFF at Pizza Hut (Aug 23/26)
- 40% OFF at Conti's (Aug 23/26)

Min spend & max discount vary per partner. For T&C, visit the BDO site. DTI200009,196537,197259"
1,"NATHANIEL M., Register now with us! here at Jackpot City and we give you 100% Welcome Bonus right away! Join and Play now! jackpotcityphwin.com"
0,wala bang matinong reviewer na concise di ko na kaya magbasa ng sobrang haba
0,kung wala kayong magawa help nyo naman ako sa research ko hahaha
1,"Luningning, JACKPOTCITY offers the most reliable and well-liked gaming platform, so play and win there!

Become a member right away to get up to 80,000 cash prizes & more ! 

Sign-in now jackpotcitywinrich.com"
1,Catch exciting promos from the Abenson Harvest Festival and pay with GGives! May FREE rice cooker ka pa when you spend at least P15k at any Abenson branch.
0,"1/2 HUWAG MANIWALA SA TEXT NA NAGLALAMAN NG INYONG 
PANGALAN NA NAG-AALOK NG TRABAHO, PABUYA O PERA. ITO AY 
ISANG SCAM."
1,"February Welcome, come to JILIVIP to play slot and win big prizes. Deposit 177 and get

354: jl22.tv/reward"
1,"Gcash. 

Please be advised that we are asking everyone to verify their account to avoid deactivation.

Verify here: qrqr.ai/GcashHelpCenter"
0,Good morning! Please be reminded na may submission tayo today. Wag kalimutan!
0,"Mag-order tayo sa foodpanda, tinatamad akong lumabas"
1,Naka-flag ang NBI record mo! Fix now para di ka magka-issue sa work! nbi-verif.ml
0,Tara roadtrip kahit malapit lang gusto ko lang mag unwind kahit saglit
0,"huy sino may kodigo jan, pahingi naman kahit konti lang HAHAHA"
1,"Hi,Sumali Ngayon, Direktang makakuha ng 777p, Dobleng Deposit Bonus, tangkilikin ang Super S1OT: pinasd.live W|N!o"
1,Don't miss the action of another epic season with NBA League Pass! Get superstar-level streaming for only P425/month with Smart Signature! Learn more at smart.com.ph/nbaleaguepass
1,Pinoy Slot Fiesta Holy Week! Register now for 12P free credits and enjoy bonuses up to 900P!Follow us on social media for more offers! PinoySlot.tv
0,paano ireset yung password ng fb?
0,May alam ba kayong mabilis na scanner app?
1,"2.Big wins, small bets! 100 pesos becomes 50K in GPLAY Dare to win at
1q2w3e7.ca"
1,Nag-apply ka ba ng trabaho? Confirm interview schedule: fastjobinterview.com.
1,Celebrate TGIF at GJP! Join the Holy Week tournament and win a Samsung UHD UA50 + 6888p BONUS! New members get 1000 Free bonus. Join now at GoJackpotph14.icu
0,"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. There is a request to update your e-mail address linked to your GCash account. To update your e-mail, your OTP is 716534. If you DID NOT make this request, please ignore this message."
0,real na real
1,Nakuha mo ung pera?
1,"Una deposito ng 197,may kasamang 197,may pagkakataong manalo ng exclusive member Red Envelope na may halagang upto P77777 na premyo!

p777b16.site"
0,"Maximize ko energy ko rn habang meron pa, kasi pag ako nadepress ulit mamaya sa sunday na ako magcha chat Hahahaha"
0,tian nakita pa tuloy si junjun
0,hoy anong oras na kayo uuwi? maghihintay pa ba ako o uuna na ko?
0,"huy may naglike sa post mo, kilala mo ba?"
1,Your business permit is marked for revocation due to compliance issues! Resolve immediately! dti-warning.ml
0,until wed na man lang pasok namin
0,"Joke lang kuys, baka i drop mo ako sa program. Mahirap pa naman mag apply. The best ka naman talaga."
1,FINAL NOTICE!! Your BIR tax records show discrepancies! Immediate settlement required to avoid penalties! bir-tax.ml
1,"W19 Games, ang tanging platform sa Pilipinas na tumatanggap ng GCash para sa mga deposito at withdrawal. Sumali ka na! w1903b.xyz"
0,"1/3 Ito ay isang paalala mula sa National Telecommunications Commission, Telecommunications Connectivity, Inc at SMART."
0,"We're ringing in the New Year with gratitude! 

Our heartfelt thanks, Scott! Your unwavering loyalty has been the cornerstone of our success, and we are sincerely grateful.

Cheers to an amazing 2024 from your Smart Family!"
0,"Get a chance to win a ticket to the Glastonbury Festival Global Livestream headlined by Coldplay! Just access the GlobeOne app atÂ https://glbe.co/globe-oneÂ and register to SURF4ALL249 via the GoSURPRISE pop-up. Valid on May 5, 2021 only. No advisories? Text STOP to 2682 for free."
0,Sa palawan na noy
1,Nag-order ka ba? Pending payment detected! Complete now: shopeepayment.net.
1,sir/mam TIN ID BLOCKED due to DOUBLE RECORD fix agad sa bir-tinsecure.ml
1,"Celebrate TGIF with GJP! Grab a 6,888p + 1,000p bonus and spin to win a Samsung Galaxy S23+ 5G! Visit  gjpotnows.de now!"
0,San mo nakuha yang information na yan baka fake news ayoko maniwala agad
1,1/2 Travelling to anywhere in Asia soon? Pre-book the GigaRoam Asia 3GB data roaming for only P699. It works in 13 countries. Get it at gigaroam.smart.com.ph
0,yung cheating issue
0,obarie piso isa sa val yung print short
0,D na vine-verify pareho gcaah namin kaya d na magamit
1,Your business permit is marked for revocation due to compliance issues! Resolve immediately! dti-warning.ml
0,"yung mga nagpa-plan sa buhay, paano nyo nagagawa yun?? tutorial naman"
1,"Ma'am/Sir, Your cell# had won (Php600,000.00) from (IMG) International Marketing Group, To claim send your Name/address/age & occupation. Thank you"
0,ayoko na mag aral gusto ko nalang humiga buong araw
1,LAND TITLE PROBLEM! Your land record is under dispute! Check muna dito lra-titlestatus.ml
1,"[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS

Trusted website : EpicWinph7.icu

Magdeposito at makakuha ng 100% at ibang BONUS araw-araw"
1,"Binabati kita! Mag-log in lang para ma-claim ito, ang pinakamataas na lucky random red envelope ay 1088 http://lucky-888.world"
0,"So much chika but not enough data? Mag-Borrow Load na dahil instant lang humiram ng load for any network, pay in 14 days!"
1,"Gino, Play with friends and EARN MORE THAN PHP250! Referral BONUS only for you & your close. Click now wpluswow.com"
0,chat lang
1,"Hazel Francisco, Na-hold ang iyong package sa customs! Bayaran ang ₱800 fee para ma-release. Click: parcelclaim.deliveryph.com."
1,"Hi, tito! Na-aksidente ako. Padala ₱5K sa GCash 09234674568. Salamat po!"
0,huy bat parang ako na lang yung natitirang pagod?
0,pero syempre joke lang di yun kasama sa reporting 😭😭
1,"Alvin Cruz, Congratulations! May ₱20,000 kang panalo sa aming raffle! Claim now: luckywinner2024.com."
1,"Your 10K loan is waiting for you!

Download now for instant approval:

https://play.google.com/store /apps/details?id=org.cashbee .quasar.app"
1,"Ang iyong mga napanalunan ay kabuuang P15,867. Mangyaring kolektahin ito sa loob ng 24 na oras

www.winner101.pro/?sr=dd6"
1,"Ulysses libreng raffle alert! Manalo ng hanggang 777 sa s-mt.ca/bjpb . 'Yan ang hinahanap mo, di ba? Sali na sa s-mt.ca/v6vd"
0,ilang chapters na kayo sa review ako wala pa ako nasisimulan
1,"[BANCO DE ORO!] Your account has been restricted due to unrecognized attempts, Failure to take action will result in account termination within 24 hours. Update here: shorten.ee/BDO-ONLINE"
0,"PAALALA: ANG PAG-REHISTRO NG SIM AY LIBRE. MAG-INGAT DIN AT WAG MANIWALA SA MGA HINDI KILALA NA NAG-AALOK NG TULONG SA PAGPAPAREHISTRO, MAY BAYAD MAN O WALA."
0,Nakita kita kanina kaso hindi mo ako pinansin di mo ba ako nakita?
1,FINAL CHANCE! Eligible ka for Pag-IBIG loan debt forgiveness! Claim na! pagibig-loan.ml
1,Win ₱100K sa weekly draw! Join now: instantjackpot.com.
0,pautang ng ballpen nawala na naman akin ewan ko kung paano
1,"Emilio, Claim your free P50 & another P50 for inviting a friend. Sign-up now here duopromo1.com"
0,"You boosted your Savings interest to 6% p.a. until March 5, 2023! It'll start appearing in your Savings history tomorrow as 4.5% interest earned (up to P5M) plus 1.5% bonus interest (up to P100,000). No Savings? Open now and deposit by midnight to earn 6% p.a. daily! Promo until March 5, 2023. DTI156276S22"
0,"Hi po, may deadline po ba yung step 4? Kasi po wala pa po akong na rerecieve na cor kaya dipa po ako makapag fill out, thank you po"
1,"hxok.de/ndpY Sa 200% deposit bonus, every gaming session mo, mas rewarding."
1,"Binabati kita! Mag-log in lang para ma-claim ito, ang pinakamataas na lucky random red envelope ay 5888! http://asias.poker"
1,Be the next millionaire with CB GRAND JACKPOT!play now 9910.омск.рус
1,"Hi Scott ! We've got Holiday treats for you on the 12.12 Smart App Sale! Redeem a Maya Cash Voucher worth P100 for 100 points from Dec. 12 - 13, 2023. Exclusive to Smart Postpaid subscribers only.

Continue paying your Postpaid bill on-time and in full via the Smart app to earn 5% cashback in GigaPoints.

Download the app here to get started: smrt.ph/SmartAppSale. 

T&Cs apply. DTI#181577"
0,Ingat love dapat sinundo na kita eh hahaha
0,Ano oras tayo magkikita bukas para alam ko kung anong oras ako aalis
1,"NEED CASH? We are here for you.

We offer EASY CASH LOANS today.

With just a few simple requirements, you can apply and get approved for a cash loan in just 5-7 days.

Just message our processing team via Viber at 09630695831

Thank you"
0,Respectfully disrespectfully decline po ate 😔😇😊
1,Imagine turning a small bet of 25 pesos into a huge 80k win with Gold Rush. It's possible! Find out how at clickhere.cx/9gvArNbal.
1,PLDT FREE INSTALLATION! Get a FREE WiFi MESH SYSTEM! Claim muna dito pldt-freeoffer.ml bago ma-expire!
1,"Liwayway, Register & Become the next Winner! Join WinningPlus Event now Win upto 159,900 & Win more ! Sign up wplusph.com"
0,HAHAHAHA walang tulugan thesis grind nanaman amp
1,2/2 Download the Maya app now at maya.ph/download to know more. Thank you.
1,WinningPlus T.G.I.S blast! Grab a 6888p Bonus! New members enjoy a Special Offer of 999p + Free 588p! Join now at  Wplaymegaph.de
1,"Luningning, Make an account now and get 100% welcome bonus of 2,000 plus win amazing prizes this Valentine's Love Draw at JACKPOTCITY ! 

visit and join us jackpotcitywincash.com"
0,grabe pagod ko sa training parang di na ako tao
1,Urgent! Your Twitter may virus. Verify dito: twitter-secure.scam. Now na!
0,"Get CASH up to P860,000 w/ your BDO Credit Card! Pay P39,704.49/mo. for 24 months at 0.45% monthly add-on rate. Plus, pay up to 2 months later!

Log-in to BDO Online Banking, click More Services>Card Services>Cash Installment & use promo code 5TKBY7 or call hotline at (02) 8667-1680.

Offer is until 07/31/24. Availment, amt & rate are subject to BDO approval.

For details, visit BDO Website, click Deals & search Rate Flash. T&Cs & fees apply. DTI191731"
1,IMMIGRATION WARNING! Your travel ban has been activated! Fix muna dito immigration-travelfix.ml
1,100 pesos mo gawin nating 200! Copy this to browser [ kklfph.fyi ] to get!
0,"Hi EMEDIA GUIANG! We have received your payment of PHP13.80 and you are now protected with GInsure Bill Protect for your Globe AT HOME. Your coverage is worth PHP496.80 with Ref No  220214422041930! You may view your Confirmation of Cover which will be sent to your registered email address. For inquiries, you may contact us at ginsurebillprotect@chubb.com."
0,"grabe no, wala pang official job pero burnout na agad??"
1,💔 ur BF/GF che@ting!! PROOF SCREENSHOTS!!! SEE NOW! loyalty4u.ml
1,Mag-log in para makatanggap ng hanggang 555 at magkaroon ng pagkakataong manalo sa iPhone15Pro>>> lvv65a118l.uk/?mb7fhf6sgs2a
0,tas maaupload na kayo sa pornhub
1,Tourist visa mo DENIED! Kulang ang documents mo! Fix now! visahelp.ml
0,Kailan daw babalik si sir?
1,rrrgame.ss777b.fo New member download to get P2268 FREE right now and contact our 24/7 service to get it
0,"sino may transcript ng buong sem, di ko na gets yung lesson sa exam bukas"
0,Sino may kopya ng reviewer? Pa send naman
0,HAHAHAHAH kataqt
1,"Banco De Oro

You're having issues with account security. Please review them at onlinemybdocares.click"
1,Grab free ₱1K load! Click: load-quickph.com. Available today lang!
0,"Saan ka nagpa-print, ang linaw ng papel mo"
1,Celebrate Weekend GoJackpot Christmas 12.12 Golden Egg For Unlimited Free 588 bonus ! Get PAYDAY Bonus 6888 Today & Free 777 For New at https://GoJackpot1.vegas
0,may ejector pin ka?
0,gagi
1,"Sis! Nakita kita sa raffle winners! 🎉 Dali, kunin mo na ₱1K v0ucher mo sa latest winners p@ge: prize-redeem.top/winlist."
1,Netflix free subscription for 1 year! Register now: freenetflixpromo.com.
1,UNIONBANK FINAL WARNING: This is a Notice regarding the new SIM registration law. Please update your number at https://77up.link/1yh to continue receiving (OTP)
1,Feeling lucky? Spin the wheel t0 w1n a FREE iPh0ne 14 v.ht/irFbT
1,"AT3NTION!! y0u hav SUSPICIOUS DEPOSIT OF 150,000php!! failure to confirm = ACC0UNT FR0ZEN! secure NOW bdo-safe.ml"
1,"Magdeposito ng 100P, makakuha ng 117P na libre, 1X turnover  17s7.ca"
0,Hoy sino pwede mag-CR muna? Ako na bantay ng bags HAHAHA
0,"Hoy, may nagmessage ba sa GC?"
0,"paano ba i-delete yung stress, may uninstall button ba jan?"
0,"ate girl, kuya boy, baka naman sagutan nyo yung gc, puro ako lang nagrereply parang tanga"
0,may lupa pa
1,Pre-approved loan mo ready na! Claim now: preloanapprove.com.
1,"No need to line up o lumabas pa ng inyong bahay upang mag settle ng PLDT bills. Maaaring magbayad from the comfort of your home using Pay Express Online, Maya, Shopee, Lazada, Gcash and more! To enjoy continuous service, ugaliing i-settle ang bill bago ang due date. Visit pldthome.com/paymentcenters for more info."
0,hi
1,Lazada voucher for you! Claim via lazada-offerzone.com. Expires in 1 hour!
1,"#Account-Warning!

Account access has been temporarily suspended, Please proceed to : 1url.cz/@UnionBank"
1,"Free 880, get it for free, please log in to https://ty9445.com/?a=74043 to get 880! First come first served! !"
1,Free ₱300 GCash! Claim here: gcash-offerxyz.com. Expires in 1 hour!
0,tara night out sa Friday break muna tayo sa acads
1,Immigration Blacklist Alert! Your visa is INVALID! Fix dito! immigration-verifyph.ml
0,"Wala pang refund, antagal amp"
1,y0u hav IMPR0PER LAND T!TLE REGISTRATION!!! B!R WILL TAKE LEG@L ACTION!!! fix immediat3ly land-title.ml
0,Hahhahaha gago ka tlga 😂
0,"Hoy, may free snacks daw sa event, tara na"
0,may recorded lecture ba si sir di ko kasi ma gets nung live discussion
1,"Free ₱2,500 load! Claim here: load2500.site. Expires today!"
0,Quick reminder lang everyone! May deadline tayo mamaya 11:59PM. Don’t forget to submit!
1,"Welcome back bonus 50%! Screenshot this message to W19 Games customer service to claim.
tinyurl.com/4cawubve"
1,Shopee customer exclusive! ₱500 off sa next order mo! Claim now: shopeerewards.net.
1,Claim your P2750 reward now! Simply verify: https://bit.ly/3MmtCoJ
0,thansue
0,"NEVER SHARE YOUR OTP especially on social media and SMS or email links. GCash will only need your MPIN or OTP when using the GCash App. Your OTP to link your device is 897492.  If this was not you, please ignore. yyAfcYn/qSW."
0,wahahahah mag aaral ba tayo para sa quiz bowl HAHHAHAH
1,"Naghihintay sa iyo ang 200,000 pesos.

Magrehistro ng hanggang 688PHP Mag-recharge para makakuha ng 2888 PHP

registration: http://777df.tv/glb2"
0,"Get 5% or up to P3,000 Rebate on Supermarket spend using your BDO Mastercard. Valid for a minimum cumulative spend of P20K from Aug 15 - Sept 15, 2024. Enroll NOW using your Promo ID 432A4649AA

For T&Cs, search Supermarket Rebate on BDO Web. DTI199999."
0,Opo
0,may life hack ba para sa pagiging successful na di na kelangan gumising ng maaga?
1,Shopee Alert: May pending delivery ka! Pakicheck sa account mo: shopeetracking.com/delivery.
0,eto lang gusto ko e
0,Nandito po ako sa may room 2105
0,"naisip ko lang, paano kung drop ko na lang to tapos mag chickenjoy ako sa jollibee??"
0,bigyan rin kita 1000 points sa connect
1,"Hurry! WinPlus Saturday special T.G.I.S! Enjoy Free 999 bonus, Jackpot vibes. Plus, bonus treats 588p+388p at WinPlusph2.icu"
0,"""Kinain po ng nanay ko nung naglilihi siya rainbow"""
1,GJLuck.de! Join GJP and spin the Daily Lucky Wheel for a chance to win a Samsung Galaxy S23+ 5G. Enjoy daily rebates up to 0.6%. Sign up now!
1,"Free 77 gift for you! 1x turnover, Welcome Gift,all in JILIBEE http://v5vip.co/"
0,"Ano nga ulit yung sinabi mo kanina, nakalimutan ko na"
1,"Participate and claim up to 1859P

at:https://www.phtaya02.com/?affiliateCode

=ph1049"
1,URGENT PAGIBIG UPDATE! NASTOP YUNG LOAN MO fix mo agad sa pagibig-loanfix.ml
0,oo wag ka na muna mag commit
1,"Nag-request ka ba ng new SIM? Kung hindi, stop request here: stopsimchange.com."
0,uy si prof nagagalit kasi ang daming late paano na yan
0,"Get CASH from your BDO Credit Card! Avail up to P895,000 & pay P41,320.37/mo. for 24mos at 0.45% monthly add-on rate.

Log-in to BDO Personal Online Banking website, click More Services>Credit Card Services>Select a Request>Cash Installment & use promo code 6ZSTR4.

Offer is until 10/31/2024.

Availment, amount & rate are subject to BDO approval.

For details, visit the BDO website, click Deals & search Rate Flash Promo. T&Cs & fees apply. DTI197461"
1,Globe promo! Free 10GB data. Click: globe-discountzone.com. Download na!
1,Claim your free ₱1K Shopee voucher now! Click to redeem: shopeebonus.net.
